,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
1564083_at,-0.190446271,3.287591115,-3.193986686,0.003194126,0.021462315,-2.163374791,LINC01844
212506_at,-0.19023542,10.09570126,-3.121756973,0.003851727,0.024679854,-2.337864182,PICALM
226512_at,-0.19011647,5.981102544,-3.641232711,0.000969901,0.008533887,-1.042413727,ZMYM2
210759_s_at,-0.190068681,9.795321589,-3.68901689,0.000851458,0.007721269,-0.919034724,PSMA1
218132_s_at,-0.19001246,8.407738696,-2.99720549,0.005298241,0.031208937,-2.633847137,TSEN34
31845_at,-0.190004275,9.154839035,-4.142045406,0.000242416,0.002925851,0.277741946,ELF4
201773_at,-0.189951268,9.159562185,-4.379637495,0.000123907,0.001742516,0.921074278,ADNP
1560258_a_at,-0.189925721,3.467893178,-3.383121294,0.001942047,0.014625537,-1.697353422,NA
1564240_at,-0.189901783,4.219806269,-3.059492303,0.004520239,0.027747173,-2.486626642,NA
236555_at,-0.189833488,4.210133396,-3.255232957,0.002721875,0.019013478,-2.013869173,TRAF3IP2-AS1
